t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.2220,-0.295029,-0.126565,2.303084,-16.6197,73.9178,229.8641,0.536067,1.495893,46.563206,2
0.2230,-0.303545,-0.025986,2.554923,-8.5162,100.5781,251.8378,0.677898,1.495893,46.705844,2
0.2240,-0.304277,0.104763,2.828310,-0.7317,130.7495,273.3879,0.847549,1.495893,46.838942,2
0.2250,-0.300236,0.263052,3.119697,4.0407,158.2887,291.3863,1.042137,1.495893,46.965887,2
0.2260,-0.294362,0.440887,-2.858709,5.8745,177.8343,304.7783,-0.459003,1.495893,47.091864,2
0.2270,-0.287886,0.629521,-2.544097,6.4755,188.6340,314.6112,-0.236011,1.495893,47.221690,2
0.2280,-0.280564,0.821695,-2.222097,7.3219,192.1734,321.9989,-0.008430,1.495893,47.359736,2
0.2290,-0.271249,1.010913,-1.894833,9.3156,189.2178,327.2631,0.218437,1.495893,47.510568,2
0.2300,-0.258238,1.190337,-1.564578,13.0104,179.4228,330.2547,0.438996,1.495893,47.679393,2
0.2310,-0.239565,1.352320,-1.233769,18.6730,161.9835,330.8081,0.647023,1.495893,47.872149,2
0.2320,-0.213472,1.488688,-0.904646,26.0932,136.3672,329.1218,0.835961,1.495893,48.095283,2
0.2330,-0.179165,1.591713,-0.578487,34.3068,103.0246,326.1570,0.999840,1.495893,48.355461,2
0.2340,-0.137684,1.655513,-0.254509,41.4816,63.8001,323.9763,1.134598,1.495893,48.659787,2
0.2350,-0.092714,1.676945,0.071249,44.9697,21.4319,325.7548,1.239028,1.495893,49.017092,2
0.2360,-0.051777,1.655002,0.406611,40.9368,-21.9422,335.3578,1.314532,1.495893,49.439834,2
0.2370,-0.029016,1.588961,0.763313,22.7609,-66.0390,356.6968,1.363785,1.495893,49.942437,2
0.2380,-0.048386,1.477897,1.154852,-19.3694,-111.0625,391.5305,1.389793,1.495893,50.517415,2
0.2390,-0.126917,1.330399,1.582332,-78.5308,-147.4944,427.4720,1.399108,1.495893,51.081569,2
0.2400,-0.243710,1.190592,2.006678,-116.7936,-139.8071,424.3417,1.413161,1.495893,51.561217,2
0.2410,-0.372158,1.107273,2.403007,-128.4483,-83.3198,396.3279,1.460655,1.495893,51.959305,2
0.2420,-0.498285,1.097453,2.791276,-126.1267,-9.8195,388.2678,1.559405,1.495893,52.290530,2
0.2430,-0.617471,1.167947,-3.090190,-119.1860,70.4938,401.7191,0.006637,1.495893,52.566317,2
0.2440,-0.732283,1.319915,-2.662436,-114.8119,151.9678,427.7545,0.233819,1.495893,52.794492,2
0.2450,-0.853509,1.549274,-2.204902,-121.2259,229.3586,457.5337,0.525408,1.495893,52.974763,2
0.2460,-1.006992,1.852957,-1.720948,-153.4832,303.6831,483.9544,0.878256,1.495893,53.081388,2
0.2470,-1.122790,2.243559,-1.223720,-115.7982,390.6020,497.2269,1.297938,1.495893,53.163138,2
0.2480,-1.165381,2.591289,-0.794241,-42.5908,347.7219,429.4634,1.667963,1.495893,53.295319,2
