t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.9542,-0.568330,-0.704572,-1.257737,4.5246,-3.5553,3.1540,0.0000
0.9583,-0.545724,-0.686683,-1.237137,5.9700,-4.7486,6.0031,0.0000
0.9625,-0.517395,-0.664055,-1.206738,7.3013,-5.8544,8.0530,0.0000
0.9667,-0.483731,-0.636890,-1.169569,8.5517,-6.9373,9.4181,0.0000
0.9708,-0.444994,-0.605110,-1.128281,9.7511,-8.0648,10.1751,0.0000
0.9750,-0.401310,-0.568341,-1.085297,10.9336,-9.3115,10.3655,0.0000
0.9792,-0.352635,-0.525854,-1.042952,12.1467,-10.7706,9.9958,-1.3351
0.9833,-0.302456,-0.480820,-1.014819,11.9576,-10.8269,4.7588,-1.6289
0.9875,-0.253744,-0.436004,-1.009851,11.4931,-10.6725,-1.0035,-2.0201
0.9917,-0.208297,-0.393534,-1.030914,10.4846,-9.7953,-7.5467,-2.4766
0.9958,-0.169222,-0.358160,-1.081209,8.5927,-7.4931,-14.8419,0.0000
1.0000,-0.125966,-0.317208,-1.136549,11.5563,-11.4158,-12.4287,0.0000
1.0042,-0.069631,-0.257919,-1.187270,14.8477,-16.1677,-12.2068,0.0000
1.0083,0.001785,-0.176056,-1.245269,18.6273,-21.9296,-15.4202,0.0000
1.0125,0.083648,-0.077811,-1.330351,19.2221,-22.9674,-23.9398,0.0000
1.0167,0.147844,-0.007531,-1.445865,12.5293,-12.1985,-28.8937,0.0000
1.0208,0.187579,0.021948,-1.564551,7.7956,-4.0976,-27.8787,0.0000
1.0250,0.210668,0.023049,-1.467486,4.1899,1.9868,-25.2487,0.0000
1.0292,0.219361,0.000798,-1.369938,0.7867,7.3636,-22.3208,0.0000
1.0333,0.213639,-0.043398,-1.283507,-2.7201,12.6097,-19.9186,0.0000
1.0375,0.193796,-0.108602,-1.203375,-5.9230,17.4032,-19.0942,0.0000
1.0417,0.167827,-0.183591,-1.121572,-5.7978,17.4411,-20.0215,0.0000
1.0458,0.156430,-0.236756,-1.040495,-0.4853,9.2019,-18.5640,-0.0571
1.0500,0.162176,-0.262187,-0.968861,2.5177,4.1563,-16.2131,-0.3950
1.0542,0.168880,-0.285436,-0.900695,1.0959,6.3824,-16.4430,-0.2127
1.0583,0.175301,-0.308089,-0.836072,1.8136,4.8308,-14.8827,-0.3135
1.0625,0.181028,-0.330361,-0.775550,1.1392,5.5952,-14.2722,-0.2595
1.0667,0.185355,-0.353015,-0.719410,0.9911,5.2991,-12.9426,-0.2981
1.0708,0.187968,-0.376189,-0.668128,0.4353,5.6598,-11.8790,-0.3048
1.0750,0.188404,-0.400439,-0.621704,-0.0683,5.8589,-10.6518,-0.3408
1.0792,0.186572,-0.425792,-0.580179,-0.6325,6.1577,-9.5100,-0.3861
1.0833,0.182442,-0.452357,-0.543188,-1.1754,6.4446,-8.4581,-0.4477
1.0875,0.176178,-0.480057,-0.510174,-1.6692,6.7107,-7.5672,-0.5244
1.0917,0.168058,-0.508757,-0.480335,-2.0875,6.9409,-6.8880,-0.6147
1.0958,0.158444,-0.538289,-0.452690,-2.4138,7.1291,-6.4583,-0.7162
1.1000,0.147739,-0.568476,-0.426142,-2.6400,7.2748,-6.2998,-0.8261
1.1042,0.136366,-0.599146,-0.399547,-2.7644,7.3798,-6.4172,-0.9413
1.1083,0.124742,-0.630136,-0.371779,-2.7892,7.4459,-6.8006,-1.0590
1.1125,0.113269,-0.661288,-0.341784,-2.7193,7.4728,-7.4281,-1.1767
1.1167,0.102322,-0.692434,-0.308620,-2.5609,7.4582,-8.2700,-1.2928
1.1208,0.092253,-0.723393,-0.271478,-2.3212,7.3975,-9.2929,-1.4062
1.1250,0.083377,-0.753958,-0.229692,-2.0080,7.2843,-10.4629,-1.5167
1.1292,0.075980,-0.783894,-0.182728,-1.6298,7.1109,-11.7489,-1.6252
1.1333,0.070307,-0.812928,-0.130168,-1.1957,6.8690,-13.1253,-1.7335
1.1375,0.066567,-0.840753,-0.071681,-0.7156,6.5496,-14.5738,-1.8446
1.1417,0.064925,-0.867024,-0.006993,-0.1997,6.1434,-16.0845,-1.9623
1.1458,0.065504,-0.891354,0.064155,0.3415,5.6406,-17.6565,-2.0919
1.1500,0.068382,-0.913312,0.142042,0.8969,5.0308,-19.2986,-2.2396
1.1542,0.073588,-0.932424,0.227009,1.4552,4.3022,-21.0290,-2.4128
1.1583,0.081104,-0.948159,0.319495,2.0040,3.4421,-22.8752,-2.6205
1.1625,0.090856,-0.959934,0.420078,2.5292,2.4370,-24.8738,-2.8733
1.1667,0.102699,-0.967108,0.529515,3.0123,1.2739,-27.0709,-3.0000
1.1708,0.116211,-0.969084,0.647871,3.3577,-0.0171,-29.1765,-3.0000
1.1750,0.130590,-0.965563,0.774192,3.4789,-1.3403,-30.9735,-3.0000
1.1792,0.144825,-0.956687,0.907324,3.3464,-2.5887,-32.5133,-3.0000
1.1833,0.157788,-0.943057,1.046307,2.9335,-3.6514,-33.8406,-3.0000
1.1875,0.168244,-0.925726,1.190371,2.2166,-4.4220,-35.0018,0.0000
1.1917,0.173570,-0.908354,1.327529,0.7146,-3.9493,-31.6680,0.0000
1.1958,0.172778,-0.894043,1.451371,-0.7230,-3.0859,-28.5567,0.0000
1.2000,0.166325,-0.883858,1.562777,-2.0249,-2.0454,-25.6493,0.0000
1.2042,0.154939,-0.878048,1.478997,-3.1315,-1.0097,-22.9538,0.0000
1.2083,0.139530,-0.876241,1.389819,-4.0099,-0.1065,-20.4859,0.0000
1.2125,0.121064,-0.877691,1.310302,-4.6577,0.5975,-18.2571,0.0000
1.2167,0.100453,-0.881513,1.239446,-5.0963,1.0867,-16.2678,0.0000
1.2208,0.078481,-0.886851,1.176277,-5.3599,1.3784,-14.5074,0.0000
1.2250,0.055784,-0.892962,1.119890,-5.4848,1.5047,-12.9568,0.0000
1.2292,0.032851,-0.899250,1.069472,-5.5033,1.5010,-11.5923,0.0000
1.2333,0.010057,-0.905258,1.024311,-5.4419,1.3991,-10.3897,-3.0000
1.2375,-0.012912,-0.907776,0.969043,-5.5734,0.1373,-15.0002,-3.0000
1.2417,-0.036816,-0.905469,0.895213,-5.8577,-0.9516,-19.3566,-3.0000
1.2458,-0.062357,-0.899205,0.803987,-6.3181,-1.8094,-23.4170,-3.0000
1.2500,-0.090285,-0.890103,0.696736,-6.9582,-2.3765,-27.1268,-3.0000
1.2542,-0.121299,-0.879511,0.575088,-7.7554,-2.6029,-30.4213,-3.0000
1.2583,-0.155926,-0.868923,0.440947,-8.6568,-2.4631,-33.2336,-3.0000
1.2625,-0.194392,-0.859849,0.296478,-9.5794,-1.9686,-35.5053,-3.0000
1.2667,-0.236523,-0.853644,0.144038,-10.4198,-1.1709,-37.1978,-3.0000
1.2708,-0.281695,-0.851368,-0.013927,-11.0704,-0.1510,-38.3012,-3.0000
1.2750,-0.328870,-0.853706,-0.175013,-11.4396,0.9993,-38.8375,-3.0000
1.2792,-0.376711,-0.860983,-0.336989,-11.4670,2.1971,-38.8594,-3.0000
1.2833,-0.423722,-0.873231,-0.497913,-11.1305,3.3817,-38.4469,-3.0000
1.2875,-0.468413,-0.890299,-0.656237,-10.4437,4.5192,-37.7041,-3.0000
1.2917,-0.509423,-0.911962,-0.810901,-9.4473,5.6009,-36.7554,-3.0000
1.2958,-0.545602,-0.938015,-0.961403,-8.1963,6.6401,-35.7416,-3.0000
1.3000,-0.576035,-0.968355,-1.107856,-6.7466,7.6678,-34.8135,0.0000
1.3042,-0.595674,-0.996609,-1.225978,-3.5425,6.1369,-24.4452,0.0000
1.3083,-0.603854,-1.017847,-1.305652,-1.0576,4.4112,-15.9268,0.0000
1.3125,-0.603174,-1.032094,-1.354421,0.8679,2.7926,-9.1820,0.0000
1.3167,-0.595507,-1.040155,-1.379093,2.4077,1.4044,-3.9788,0.0000
1.3208,-0.582106,-1.043050,-1.385358,3.6937,0.2598,-0.0315,0.0000
1.3250,-0.563797,-1.041704,-1.377751,4.8104,-0.6799,2.9295,0.0000
1.3292,-0.541151,-1.036836,-1.359805,5.8074,-1.4687,5.1239,0.0000
1.3333,-0.514592,-1.028940,-1.334277,6.7125,-2.1589,6.7186,0.0000
1.3375,-0.484459,-1.018314,-1.303353,7.5414,-2.7940,7.8337,0.0000
